"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"134","This month’s #MannKiBaat will take place on the 26th. 

What are you suggestions for this episode? 

Dial 1800-11-7… https://t.co/6nV8mlsc8D",FALSE,43185,NA,2020-04-12 08:38:00,TRUE,NA,"1249255433962831872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",6543,FALSE,FALSE,NA,NA
"135","Satsang and Satkarma are being channelised through community leadership. 

Thanks to @satsangofficial for contribut… https://t.co/FcSLDf2Uxb",FALSE,19921,NA,2020-04-12 08:37:09,TRUE,NA,"1249255223526211585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3263,FALSE,FALSE,NA,NA
"136","Timely and important message by the youngster! https://t.co/uxZ3zu889O",FALSE,63824,NA,2020-04-12 08:36:09,FALSE,NA,"1249254971503022080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",5664,FALSE,FALSE,NA,NA
"137","Well done! https://t.co/NXC05vEHzk",FALSE,34224,NA,2020-04-12 08:35:46,FALSE,NA,"1249254873347940352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3277,FALSE,FALSE,NA,NA
"138","The link between sports and fitness is well known. 

I’m happy to see sportspersons taking the initiative to ensure… https://t.co/ixyl6j7R6V",FALSE,23747,NA,2020-04-12 08:35:16,TRUE,NA,"1249254749108498437",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2994,FALSE,FALSE,NA,NA
"139","People from all age groups, diverse individuals and institutions, everyone is coming together to contribute to PM-C… https://t.co/lPN83zvmJ0",FALSE,13827,NA,2020-04-12 08:34:41,TRUE,NA,"1249254599178866688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2123,FALSE,FALSE,NA,NA
"140","Best wishes to everyone on the special occasion of Easter. We remember the noble thoughts of Lord Christ, especiall… https://t.co/jV6kkGXyh1",FALSE,135650,NA,2020-04-12 02:43:05,TRUE,NA,"1249166118398427137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",13762,FALSE,FALSE,NA,NA
"141","Had yet another fruitful interaction with all Chief Ministers, the third such one in the last few days. We continue… https://t.co/KMfE4VaYwk",FALSE,105706,NA,2020-04-11 15:16:06,TRUE,NA,"1248993233889382400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",12006,FALSE,FALSE,NA,NA
"142","Very inspiring gesture by our former Prime Minister @H_D_Devegowda Ji. #IndiaFightsCorona https://t.co/WZkJJS3SYm",FALSE,33944,NA,2020-04-11 15:15:40,FALSE,NA,"1248993124489330691",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3943,FALSE,FALSE,NA,NA
"143","Our hardworking CA fraternity helps keep the world of business healthy and they are also contributing to make the n… https://t.co/5gmPmh6y5s",FALSE,41252,NA,2020-04-11 15:15:00,TRUE,NA,"1248992954850717696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",6947,FALSE,FALSE,NA,NA
